id,task_id,task,code,error_type
347,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n + 10
print(count)",Update_Error
339,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 100
print(count)",Update_Error
159,3,Print odd numbers from 1 to 19,"i = -1
while i <= 19:
    print(i)
    i = i + 2",Initialization_Error
151,3,Print odd numbers from 1 to 19,"i = 0
while i <= 19:
    print(i)
    i = i + 2",Initialization_Error
178,6,Calculate factorial of a number,"n = 5
i = 3
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Initialization_Error
394,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i * 2
print(fact)",Update_Error
185,5,Print numbers from 10 to 1 in reverse,"i = 1
while i >= 1:
    print(i)
    i = i - 1",Initialization_Error
450,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)",Infinite_Loop
11,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 2",Correct
381,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i - 1",Update_Error
104,4,Calculate sum of numbers from 1 to N,"n = 10
i = -1
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Initialization_Error
82,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 2",Correct
39,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Correct
315,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n * 10
print(count)",Update_Error
168,4,Calculate sum of numbers from 1 to N,"n = 10
i = 10
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Initialization_Error
470,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
print(fact)",Infinite_Loop
297,1,Print numbers from 1 to 10,"i = 1
while i >= 10:
    print(i)
    i = i + 1",Condition_Error
475,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)",Infinite_Loop
199,3,Print odd numbers from 1 to 19,"i = -1
while i <= 19:
    print(i)
    i = i + 2",Initialization_Error
298,2,Print even numbers from 2 to 20,"i = 2
while i > 20:
    print(i)
    i = i + 2",Condition_Error
417,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)",Infinite_Loop
147,7,Count digits in a number,"n = 12345
count = 1234
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Initialization_Error
393,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i",Update_Error
148,8,Reverse a number,"n = 12345
reverse = -1
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Initialization_Error
448,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
print(reverse)",Infinite_Loop
288,8,Reverse a number,"n = 12345
reverse = 0
while n >= 10:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Condition_Error
124,8,Reverse a number,"n = 12345
reverse = 10
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Initialization_Error
369,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i * 2",Update_Error
97,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i + 1",Correct
144,4,Calculate sum of numbers from 1 to N,"n = 10
i = -1
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Initialization_Error
240,8,Reverse a number,"n = 12345
reverse = 0
while n < 10:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Condition_Error
443,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)",Infinite_Loop
98,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 2",Correct
408,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
print(reverse)",Infinite_Loop
123,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Initialization_Error
184,4,Calculate sum of numbers from 1 to N,"n = 10
i = -1
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Initialization_Error
203,3,Print odd numbers from 1 to 19,"i = 1
while i > 19:
    print(i)
    i = i + 2",Condition_Error
247,7,Count digits in a number,"n = 12345
count = 0
while n < 0:
    count = count + 1
    n = n // 10
print(count)",Condition_Error
306,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i - 1
print(fact)",Update_Error
299,3,Print odd numbers from 1 to 19,"i = 1
while i <= 17:
    print(i)
    i = i + 2",Condition_Error
352,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i + 2
print(total)",Update_Error
387,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n + 10
print(count)",Update_Error
396,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 2
print(reverse)",Update_Error
285,5,Print numbers from 10 to 1 in reverse,"i = 10
while i == 1:
    print(i)
    i = i - 1",Condition_Error
126,2,Print even numbers from 2 to 20,"i = 0
while i <= 20:
    print(i)
    i = i + 2",Initialization_Error
303,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 4",Update_Error
224,8,Reverse a number,"n = 12345
reverse = 0
while n == 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Condition_Error
419,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)",Infinite_Loop
220,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i == n:
    total = total + i
    i = i + 1
print(total)",Condition_Error
130,6,Calculate factorial of a number,"n = 5
i = 5
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Initialization_Error
421,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)",Infinite_Loop
290,2,Print even numbers from 2 to 20,"i = 2
while i == 20:
    print(i)
    i = i + 2",Condition_Error
445,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)",Infinite_Loop
377,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i - 2",Update_Error
292,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i >= n:
    total = total + i
    i = i + 1
print(total)",Condition_Error
356,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 2
print(reverse)",Update_Error
295,7,Count digits in a number,"n = 12345
count = 0
while n < 10:
    count = count + 1
    n = n // 10
print(count)",Condition_Error
397,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i + 2",Update_Error
341,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i - 1",Update_Error
113,5,Print numbers from 10 to 1 in reverse,"i = 5
while i >= 1:
    print(i)
    i = i - 1",Initialization_Error
180,8,Reverse a number,"n = 12345
reverse = 5
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Initialization_Error
308,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n
print(reverse)",Update_Error
433,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)",Infinite_Loop
488,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
print(reverse)",Infinite_Loop
482,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)",Infinite_Loop
423,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
print(count)",Infinite_Loop
234,2,Print even numbers from 2 to 20,"i = 2
while i <= 18:
    print(i)
    i = i + 2",Condition_Error
312,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i + 2
print(total)",Update_Error
165,1,Print numbers from 1 to 10,"i = 11
while i <= 10:
    print(i)
    i = i + 1",Initialization_Error
137,5,Print numbers from 10 to 1 in reverse,"i = 11
while i >= 1:
    print(i)
    i = i - 1",Initialization_Error
198,2,Print even numbers from 2 to 20,"i = 4
while i <= 20:
    print(i)
    i = i + 2",Initialization_Error
259,3,Print odd numbers from 1 to 19,"i = 1
while i <= 17:
    print(i)
    i = i + 2",Condition_Error
233,1,Print numbers from 1 to 10,"i = 1
while i > 10:
    print(i)
    i = i + 1",Condition_Error
116,8,Reverse a number,"n = 12345
reverse = 1
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Initialization_Error
121,5,Print numbers from 10 to 1 in reverse,"i = 9
while i >= 1:
    print(i)
    i = i - 1",Initialization_Error
350,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i * 2",Update_Error
225,1,Print numbers from 1 to 10,"i = 1
while i == 10:
    print(i)
    i = i + 1",Condition_Error
403,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)",Infinite_Loop
398,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 4",Update_Error
128,4,Calculate sum of numbers from 1 to N,"n = 10
i = 10
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Initialization_Error
286,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i < n:
    fact = fact * i
    i = i + 1
print(fact)",Condition_Error
412,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
print(total)",Infinite_Loop
108,8,Reverse a number,"n = 12345
reverse = -1
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Initialization_Error
371,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 2
print(count)",Update_Error
326,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 1",Update_Error
134,2,Print even numbers from 2 to 20,"i = 6
while i <= 20:
    print(i)
    i = i + 2",Initialization_Error
453,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)",Infinite_Loop
45,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i - 1",Correct
461,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)",Infinite_Loop
66,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 2",Correct
284,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n - 1:
    total = total + i
    i = i + 1
print(total)",Condition_Error
86,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Correct
243,3,Print odd numbers from 1 to 19,"i = 1
while i > 19:
    print(i)
    i = i + 2",Condition_Error
187,7,Count digits in a number,"n = 12345
count = 1234
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Initialization_Error
384,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i * 2
print(total)",Update_Error
160,4,Calculate sum of numbers from 1 to N,"n = 10
i = 5
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Initialization_Error
13,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i - 1",Correct
36,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Correct
29,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i - 1",Correct
171,7,Count digits in a number,"n = 12345
count = 1
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Initialization_Error
143,3,Print odd numbers from 1 to 19,"i = 4
while i <= 19:
    print(i)
    i = i + 2",Initialization_Error
399,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i",Update_Error
343,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 4",Update_Error
222,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i >= n:
    fact = fact * i
    i = i + 1
print(fact)",Condition_Error
96,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Correct
52,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Correct
241,1,Print numbers from 1 to 10,"i = 1
while i < 10:
    print(i)
    i = i + 1",Condition_Error
485,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)",Infinite_Loop
379,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 100
print(count)",Update_Error
179,7,Count digits in a number,"n = 12345
count = -12345
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Initialization_Error
42,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 2",Correct
499,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)",Infinite_Loop
422,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
print(fact)",Infinite_Loop
207,7,Count digits in a number,"n = 12345
count = 0
while n < 0:
    count = count + 1
    n = n // 10
print(count)",Condition_Error
283,3,Print odd numbers from 1 to 19,"i = 1
while i > 19:
    print(i)
    i = i + 2",Condition_Error
255,7,Count digits in a number,"n = 12345
count = 0
while n < 10:
    count = count + 1
    n = n // 10
print(count)",Condition_Error
413,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)",Infinite_Loop
5,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i - 1",Correct
257,1,Print numbers from 1 to 10,"i = 1
while i >= 10:
    print(i)
    i = i + 1",Condition_Error
449,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)",Infinite_Loop
101,1,Print numbers from 1 to 10,"i = 0
while i <= 10:
    print(i)
    i = i + 1",Initialization_Error
227,3,Print odd numbers from 1 to 19,"i = 1
while i >= 19:
    print(i)
    i = i + 2",Condition_Error
430,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
print(fact)",Infinite_Loop
214,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n - 1:
    fact = fact * i
    i = i + 1
print(fact)",Condition_Error
172,8,Reverse a number,"n = 12345
reverse = 12345
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Initialization_Error
99,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 2",Correct
293,5,Print numbers from 10 to 1 in reverse,"i = 10
while i < 1:
    print(i)
    i = i - 1",Condition_Error
216,8,Reverse a number,"n = 12345
reverse = 0
while n >= 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Condition_Error
62,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Correct
48,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Correct
33,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i + 1",Correct
268,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i > n:
    total = total + i
    i = i + 1
print(total)",Condition_Error
328,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i
print(total)",Update_Error
201,1,Print numbers from 1 to 10,"i = 1
while i < 10:
    print(i)
    i = i + 1",Condition_Error
447,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
print(count)",Infinite_Loop
28,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Correct
425,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)",Infinite_Loop
231,7,Count digits in a number,"n = 12345
count = 0
while n >= 0:
    count = count + 1
    n = n // 10
print(count)",Condition_Error
261,5,Print numbers from 10 to 1 in reverse,"i = 10
while i > 1:
    print(i)
    i = i - 1",Condition_Error
289,1,Print numbers from 1 to 10,"i = 1
while i <= 9:
    print(i)
    i = i + 1",Condition_Error
163,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Initialization_Error
426,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)",Infinite_Loop
139,7,Count digits in a number,"n = 12345
count = -12345
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Initialization_Error
63,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Correct
136,4,Calculate sum of numbers from 1 to N,"n = 10
i = 0
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Initialization_Error
129,5,Print numbers from 10 to 1 in reverse,"i = 0
while i >= 1:
    print(i)
    i = i - 1",Initialization_Error
477,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)",Infinite_Loop
9,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i + 1",Correct
327,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i - 2",Update_Error
464,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
print(reverse)",Infinite_Loop
65,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i + 1",Correct
301,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i - 1",Update_Error
15,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Correct
157,1,Print numbers from 1 to 10,"i = 2
while i <= 10:
    print(i)
    i = i + 1",Initialization_Error
41,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i + 1",Correct
380,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n * 10
print(reverse)",Update_Error
469,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)",Infinite_Loop
404,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
print(total)",Infinite_Loop
217,1,Print numbers from 1 to 10,"i = 1
while i >= 10:
    print(i)
    i = i + 1",Condition_Error
280,8,Reverse a number,"n = 12345
reverse = 0
while n < 10:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Condition_Error
435,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)",Infinite_Loop
431,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
print(count)",Infinite_Loop
338,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i
print(fact)",Update_Error
237,5,Print numbers from 10 to 1 in reverse,"i = 10
while i <= 1:
    print(i)
    i = i - 1",Condition_Error
208,8,Reverse a number,"n = 12345
reverse = 0
while n >= 10:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Condition_Error
213,5,Print numbers from 10 to 1 in reverse,"i = 10
while i < 1:
    print(i)
    i = i - 1",Condition_Error
296,8,Reverse a number,"n = 12345
reverse = 0
while n >= 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Condition_Error
458,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)",Infinite_Loop
252,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i >= n:
    total = total + i
    i = i + 1
print(total)",Condition_Error
489,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)",Infinite_Loop
487,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
print(count)",Infinite_Loop
304,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i * 2
print(total)",Update_Error
351,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 1",Update_Error
270,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i == n:
    fact = fact * i
    i = i + 1
print(fact)",Condition_Error
202,2,Print even numbers from 2 to 20,"i = 2
while i >= 20:
    print(i)
    i = i + 2",Condition_Error
162,6,Calculate factorial of a number,"n = 5
i = 2
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Initialization_Error
44,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Correct
218,2,Print even numbers from 2 to 20,"i = 2
while i > 20:
    print(i)
    i = i + 2",Condition_Error
402,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)",Infinite_Loop
191,3,Print odd numbers from 1 to 19,"i = 0
while i <= 19:
    print(i)
    i = i + 2",Initialization_Error
310,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i * 2",Update_Error
260,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i == n:
    total = total + i
    i = i + 1
print(total)",Condition_Error
106,6,Calculate factorial of a number,"n = 5
i = 0
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Initialization_Error
54,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Correct
390,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i * 2",Update_Error
2,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 2",Correct
442,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)",Infinite_Loop
483,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)",Infinite_Loop
50,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 2",Correct
420,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
print(total)",Infinite_Loop
81,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i + 1",Correct
206,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i < n:
    fact = fact * i
    i = i + 1
print(fact)",Condition_Error
35,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 2",Correct
264,8,Reverse a number,"n = 12345
reverse = 0
while n == 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Condition_Error
428,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
print(total)",Infinite_Loop
367,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i - 2",Update_Error
92,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Correct
340,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n * 10
print(reverse)",Update_Error
474,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)",Infinite_Loop
53,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i - 1",Correct
346,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i - 1
print(fact)",Update_Error
265,1,Print numbers from 1 to 10,"i = 1
while i == 10:
    print(i)
    i = i + 1",Condition_Error
242,2,Print even numbers from 2 to 20,"i = 2
while i >= 20:
    print(i)
    i = i + 2",Condition_Error
14,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Correct
316,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 2
print(reverse)",Update_Error
89,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i + 1",Correct
388,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n
print(reverse)",Update_Error
274,2,Print even numbers from 2 to 20,"i = 2
while i <= 18:
    print(i)
    i = i + 2",Condition_Error
167,3,Print odd numbers from 1 to 19,"i = 2
while i <= 19:
    print(i)
    i = i + 2",Initialization_Error
329,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i * 2",Update_Error
493,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)",Infinite_Loop
135,3,Print odd numbers from 1 to 19,"i = 10
while i <= 19:
    print(i)
    i = i + 2",Initialization_Error
307,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n + 10
print(count)",Update_Error
481,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)",Infinite_Loop
320,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i - 2
print(total)",Update_Error
244,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n - 1:
    total = total + i
    i = i + 1
print(total)",Condition_Error
55,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Correct
364,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 100
print(reverse)",Update_Error
51,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 2",Correct
457,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)",Infinite_Loop
175,3,Print odd numbers from 1 to 19,"i = 10
while i <= 19:
    print(i)
    i = i + 2",Initialization_Error
446,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
print(fact)",Infinite_Loop
190,2,Print even numbers from 2 to 20,"i = 20
while i <= 20:
    print(i)
    i = i + 2",Initialization_Error
497,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)",Infinite_Loop
188,8,Reverse a number,"n = 12345
reverse = -1
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Initialization_Error
170,6,Calculate factorial of a number,"n = 5
i = 5
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Initialization_Error
59,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 2",Correct
49,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i + 1",Correct
345,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i + 2",Update_Error
236,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i < n:
    total = total + i
    i = i + 1
print(total)",Condition_Error
253,5,Print numbers from 10 to 1 in reverse,"i = 10
while i < 1:
    print(i)
    i = i - 1",Condition_Error
22,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Correct
314,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i * 2
print(fact)",Update_Error
460,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
print(total)",Infinite_Loop
